Pro1	Pro2
O95376	Q13409
O95376	O15226
O95376	Q9NZI8
Q8N8N0	Q07817
Q14527	P03372
Q5T447	Q8N5F7
Q5T447	P82930
Q5T447	P35625
Q5T447	O15123
Q5T447	P50991
Q5T447	A0PJY2
Q05086	Q99417
Q05086	P06493
Q05086	Q96AZ1
Q05086	P52566
Q05086	O15126
Q05086	P26358
Q05086	P60900
Q05086	P22234
Q05086	Q7Z3C6
Q05086	Q93100
Q05086	Q8TEW6
Q05086	Q9UBE0
Q05086	P15735
Q05086	P54652
Q05086	P18124
Q05086	Q9H4I8
Q05086	Q13263
Q05086	Q9BYD2
Q05086	Q56P03
Q05086	P55854
Q05086	Q14566
Q05086	O14744
Q05086	P06239
Q05086	Q9H6J7
Q05086	P63104
Q05086	O15231
Q05086	Q9Y6B2
Q05086	P60981
Q05086	P62837
Q05086	Q9C0B7
Q9UM11	Q96DH6
Q9UM11	O75306
Q9UM11	P62304
Q9UM11	Q86V81
Q9UM11	P63092
Q9UM11	P25205
Q9UM11	P16104
Q9UM11	Q14203
Q9UM11	P49790
Q9UM11	Q9Y4P3
Q9UM11	Q9P2W1
Q9UM11	P49720
Q9UM11	P35268
Q9UM11	P28066
Q9UM11	Q13451
Q9UM11	Q99614
Q9UM11	P62136
Q9UM11	O00232
Q9UM11	P42695
Q9UM11	Q15366
Q9UM11	Q9NRX5
Q9UM11	Q13148
Q9UM11	Q15369
Q9UM11	O43791
Q9UM11	O75940
Q9UM11	Q7Z739
Q9UM11	Q9P258
Q9UM11	P38646
Q9UM11	Q15393
Q9UM11	Q9BRX2
Q9UM11	O00178
Q9UM11	Q93008
Q9UM11	O75616
Q9UM11	Q15058
Q9UM11	O43395
Q9UM11	P55160
Q9UM11	P40337
Q9UM11	Q96DA6
Q9UM11	P78346
Q9UM11	P62316
Q9UM11	Q9UJX6
Q9UM11	Q03014
Q9UM11	Q9Y3I0
Q9UM11	Q8NHQ9
Q9UM11	Q8WTT2
Q9UM11	Q13823
Q9UM11	O95433
Q9UM11	Q9UKF6
Q9UM11	Q969S3
Q9UM11	Q53H96
Q9UM11	P08183
Q9UM11	Q14011
Q9UM11	Q10570
Q9UM11	Q9BZF1
Q9UM11	P42772
Q8N5Z5	P19525
Q16531	P27694
Q16531	P03372
O14512	Q702N8
Q9P2J3	P35568
Q9P2J3	Q6TFL4
Q9P2J3	O94992
Q9P2J3	Q6UWL6
O75928	P55854
Q9BVG3	P84022
Q9BVG3	Q9UGI0
Q969Q1	Q8TCX5
Q969Q1	O75925
Q969Q1	P24043
Q969Q1	Q66K80
