Methods,AUROC,AUPRC,Sensitivity,Specificity,PPV,NPV,F1-score
TransDSI,0.83,0.95,0.80,0.76,0.93,0.49,0.86
RF,0.75,0.93,0.62,0.80,0.93,0.34,0.74
Ubibrowser2,0.75,0.92,0.70,0.69,0.90,0.36,0.79
XGBoost,0.69,0.90,0.66,0.67,0.89,0.32,0.76
TransDSIwoSSN,0.68,0.86,0.57,0.76,0.91,0.30,0.70
SVM,0.68,0.89,0.59,0.70,0.89,0.29,0.71
TransDSIwoCT,0.65,0.89,0.34,0.90,0.93,0.25,0.50
Ubibrowser2_domain_motif,0.65,0.88,0.47,0.79,0.90,0.27,0.62
LR,0.62,0.83,0.70,0.57,0.87,0.31,0.78
KNN,0.55,0.84,0.36,0.78,0.87,0.23,0.51
