Methods,AUROC,AUPRC,Sensitivity,Specificity,PPV,NPV,F1-score
TransDSI,0.75,0.77,0.59,0.83,0.78,0.66,0.67
TransDSIwoSSN,0.70,0.70,0.51,0.79,0.71,0.61,0.60
RF,0.70,0.73,0.45,0.84,0.75,0.60,0.57
SVM,0.66,0.68,0.45,0.80,0.70,0.59,0.55
LR,0.66,0.66,0.55,0.71,0.66,0.60,0.60
XGBoost,0.66,0.66,0.45,0.79,0.69,0.58,0.55
Ubibrowser2,0.64,0.65,0.49,0.74,0.66,0.58,0.56
Ubibrowser2_domain_motif,0.60,0.62,0.50,0.68,0.62,0.57,0.55
TransDSIwoCT,0.60,0.58,0.67,0.55,0.61,0.62,0.64
KNN,0.58,0.60,0.60,0.55,0.58,0.57,0.59
