DUB,Substrate,label,Ubibrowser2,Ubibrowser2_domain_motif
P09936,P10145,1,2.42,1.0
P09936,P10636,1,147.040656,2.76
P09936,P19838,1,9.8808,2.76
P09936,P05231,1,11.0124,2.76
P09936,P37840,1,15.594,2.76
Q96G74,P13010,1,3.58,1.0
Q9Y2K6,Q13546,1,24.539826,6.854699999999999
Q9Y2K6,O75385,1,11.858631,6.854699999999999
Q14694,P36888,1,3.2912,1.36
Q14694,O43623,1,5.4264,1.36
Q6GQQ9,Q13042,1,1.73,1.0
Q6GQQ9,P48431,1,1.73,1.0
Q6R6M4,O60885,1,1.58,1.0
Q96FW1,P51965,1,7.714192,1.36
Q5VV17,Q14653,1,7.66,7.66
Q5VV17,Q9HCE7,1,4.3608,2.76
Q5VV17,P46937,1,2.1488,1.36
Q96RU2,P15056,1,2.76,2.76
P54578,Q9H5J4,1,4.3143,2.19
P54578,P08670,1,3.2096,1.36
Q92995,P53396,1,2.6656,1.36
Q92995,Q02218,1,10.8976,5.56
Q9UPT9,P00533,1,16.177092,6.854699999999999
P62068,P10275,1,127.350564,52.6242
Q01804,Q7Z434,1,4.8688,1.36
Q70CQ1,P28562,1,8.343328,4.2568
P40818,P37840,1,14.4072,2.76
Q93008,Q9UPN4,1,31.414,5.56
Q93008,Q14457,1,35.506908,15.0453
Q93008,O95835,1,6.392,1.36
O94966,P04150,1,23.540104,4.2568
Q93009,P01106,1,369.58381677,43.8993
Q92560,O75179,0,2.7813,2.19
Q92560,Q9NQV6,0,75.655188,18.961199999999998
Q13107,P19438,0,63.487355,3.13
Q53GS9,O43159,0,2.1488,1.36
Q53GS9,Q04771,0,17.69424056,4.2568
Q14694,O75385,0,4.3143,2.19
Q6R6M4,P0C7H9,0,1.27,1.0
Q96FW1,P31944,0,1.97,1.0
Q5VV17,Q14315,0,1.36,1.36
P51784,Q14781,0,24.8571,6.39
P51784,Q96DT6,0,1.36,1.36
Q9UPT9,Q96ES7,0,5.4264,1.36
P62068,O75317,0,1.36,1.36
Q01804,P05452,0,1.36,1.36
O95630,Q7Z7A4,0,5.4372,2.76
P35125,Q8N8A2,0,7.8621,2.19
P54252,Q14CB8,0,2.6797,1.0
P54252,Q9BUB5,0,1.58,1.0
P40818,O75791,0,7.5538,1.0
O00487,P10515,0,1.7272,1.36
O00487,Q9BRP4,0,3.5768,1.36
O00487,Q8TAK6,0,2.6656,1.36
Q9Y4E8,O95777,0,1.96,1.0
P21580,Q9H4A3,0,8.7381,2.19
Q93008,P55196,0,123.74303508,8.6388
Q93009,Q5STR5,0,1.36,1.36
