E3,Pro,label,TransESI,RF,SVM,XGBoost,LR,KNN
P11441,Q9Y4K3,1,0.9891815781593324,0.6570214683739516,0.6628896482674161,0.6254888772964478,0.7896023311452507,0.5
O95376,Q9HC16,1,0.9999960660934448,0.4941076843546041,0.4462273215778803,0.5247015357017517,0.4843478821428991,0.45
Q8N8N0,Q15382,1,0.077979639172554,0.4077530080412409,0.3925865705373379,0.4054040610790252,0.3869930705520251,0.325
Q8N8N0,O95859,1,0.0133859887719154,0.5325204183559618,0.5189506925511435,0.4825176000595093,0.3657944870539205,0.5
Q05086,Q8WTU0,1,0.9864621758461,0.4878867843055344,0.5158172164489636,0.4132806956768036,0.3815816130641263,0.45
Q05086,Q15257,1,0.951696276664734,0.383094787802776,0.4273960572638242,0.3903748691082001,0.3001082774981115,0.425
Q05086,P06733,1,0.000536123116035,0.3993831305054102,0.5,0.3574385941028595,0.3826588699675017,0.45
Q05086,P04271,1,0.9754436016082764,0.3470266978113897,0.389539002779767,0.4249457716941833,0.473773298396779,0.4
Q9UM11,Q9NRM7,1,0.9652879238128662,0.5561129245819646,0.6609372629761793,0.6109962463378906,0.6179523218179857,0.45
Q9UM11,P16284,1,0.0254496708512306,0.57413415994496,0.6108633968866286,0.5498146414756775,0.7018561867151737,0.6
Q9NXI6,P58004,1,0.0531915463507175,0.514032933555695,0.4583197532475428,0.4860442876815796,0.6984906155973974,0.35
Q16531,O00482,1,0.9885681867599488,0.5741267922719222,0.6580220278986619,0.5846256017684937,0.5444815289142072,0.5
Q16531,O75909,1,0.0009525484056212,0.5566127058110445,0.3776962094240581,0.5449382066726685,0.1353298045832827,0.55
Q6PJ69,P07355,1,0.9997472167015076,0.4420227515026982,0.2623790610799812,0.4524843394756317,0.3306586156304014,0.325
Q6PJ69,P19320,1,0.9983312487602234,0.5803323097703302,0.4831229802527054,0.5995671153068542,0.8697554408012319,0.575
Q6PJ69,Q9NRY4,1,0.9750794172286988,0.477306646907228,0.6887091304594178,0.3860183358192444,0.4047904496020429,0.65
Q5TAQ9,Q15773,1,5.317751856637187e-05,0.4410387520059084,0.5064654219829952,0.4353827238082886,0.5645928657881991,0.275
Q6PCT2,P43699,1,0.999822199344635,0.5025251274799429,0.5107686556407006,0.5608690977096558,0.6278791529447575,0.55
Q8TBB1,Q9UKL4,1,0.9990826845169068,0.4580205517819465,0.5973405297741302,0.4898870289325714,0.4964771968472087,0.45
Q8TBB1,Q9UMX1,1,0.9999997615814208,0.5541556070009842,0.6010730530620846,0.5458273887634277,0.3883385416331239,0.625
Q96PU5,O76090,1,0.998777449131012,0.567393104444625,0.3478999188668076,0.6012332439422607,0.185568616430435,0.525
Q96PU5,O75473,1,0.813232421875,0.6202510339071887,0.7118225865914535,0.498225450515747,0.362631896468011,0.725
Q96PU5,O14641,1,0.9984554052352904,0.655787359578301,0.6454291610637819,0.6206185817718506,0.5372160099426321,0.7
Q96PU5,Q9BXB1,1,0.991162657737732,0.638951624522176,0.7739845416758278,0.5549981594085693,0.2356745594585503,0.65
Q96PU5,P33527,1,0.9995480179786682,0.5734792386981522,0.7664026490108184,0.5093655586242676,0.7756425531286636,0.75
Q96PU5,P31749,1,0.8877681493759155,0.637044410117302,0.5487429159113538,0.6261465549468994,0.5017159075952221,0.325
Q96PU5,Q01813,1,0.0036404754500836,0.5306424824872548,0.2829313661889865,0.393333375453949,0.514724545851717,0.6
Q96PU5,P35240,1,0.017524354159832,0.4729550921425138,0.4305597921111326,0.536446750164032,0.1798565914817892,0.4
Q96PU5,Q8TDR2,1,0.0708557590842247,0.4928658738697875,0.3450723159706491,0.465054988861084,0.3724934354079078,0.425
Q96PU5,O15527,1,0.8386626839637756,0.4038980364934919,0.4869398791952579,0.3761175870895386,0.4601471742086981,0.275
Q96PU5,Q13114,1,0.8766317963600159,0.646869044599091,0.6476371327159541,0.6197251677513123,0.5740177731091511,0.375
Q96PU5,P40189,1,0.9635160565376282,0.6630398376294018,0.6329212598899454,0.6584473848342896,0.7877251788995556,0.6
Q96PU5,Q9NRA0,1,0.0298727620393037,0.5169716588637957,0.5310202802079813,0.4944086670875549,0.5746551447533085,0.625
O95835,Q14457,1,0.92562335729599,0.5016990134491178,0.4855227600693455,0.5368592143058777,0.3706966576295185,0.325
Q12933,Q13627,1,0.0023003127425909,0.5114673944927213,0.2988616608608558,0.4431487023830414,0.4223550131305543,0.525
Q12933,P00966,1,0.1675597876310348,0.4565378627712825,0.479859118200278,0.4399998784065246,0.7148165026150233,0.425
Q96LD4,Q13485,1,0.996981680393219,0.6528978927971625,0.5187828028148481,0.6627883911132812,0.5113703481931561,0.65
Q96LD4,P04637,1,0.996678113937378,0.8256713692060952,0.4629470676676642,0.701286792755127,0.6540991281094989,0.725
Q96LD4,Q12906,1,0.0091984858736395,0.4790173738240612,0.2186018255647158,0.4267818033695221,0.1985645869697238,0.5
