DUB,Substrate,label,CT_MLP
Q15018,Q96P20,1,0.5248652100563049
Q92560,Q6FI13,1,0.9363524913787842
Q92560,P46531,1,0.033578477799892426
Q92560,Q15831,1,0.4613044857978821
Q92560,P60484,1,0.8465390205383301
A6NNY8,O95863,1,0.9479416012763977
A6NNY8,O95786,1,0.9797269105911255
Q70CQ2,Q9UKV5,1,0.676202118396759
Q9H0E7,Q15910,1,0.504680335521698
Q9H0E7,P09467,1,0.5824270844459534
Q9H0E7,Q86WV6,1,0.663314163684845
Q9H0E7,O15169,1,0.6880889534950256
Q9H0E7,Q9BZS1,1,0.8064219355583191
Q96DC9,P10070,1,0.938435971736908
Q15040,Q07820,1,0.7739139199256897
Q96BN8,O75143,1,0.8070839643478394
Q96BN8,P37023,1,0.7688211798667908
Q9UGI0,Q9P2Y5,1,0.13245609402656555
Q9UGI0,Q8NEB9,1,0.357968270778656
Q9UGI0,Q9ULT8,1,0.23716527223587036
P09936,P10636,1,0.6563640236854553
P09936,P37840,1,0.32237085700035095
P09936,P19838,1,0.8525825142860413
P09936,P10145,1,0.13069143891334534
P09936,P05231,1,0.31831640005111694
P09936,P36897,1,0.9488956928253174
P09936,Q15796,1,0.5156817436218262
P09936,P84022,1,0.6296722292900085
P09936,P25963,1,0.5818967819213867
Q86T82,O95863,1,0.9690437912940979
Q86T82,Q99814,1,0.8060860633850098
Q9UHP3,P46531,1,0.09529946744441986
Q70EL4,P37275,1,0.5483435392379761
Q70EK8,P25963,1,0.4129197299480438
Q9Y5T5,P62979,1,0.22705744206905365
Q9Y5T5,P01106,1,0.9332022070884705
Q9NQC7,Q15154,1,0.8552320003509521
Q9NQC7,P59044,1,0.8548160195350647
Q9NQC7,P42773,1,0.13211877644062042
P45974,P35222,1,0.8394203782081604
P45974,O43623,1,0.8242729902267456
P45974,P49411,1,0.13240523636341095
P45974,Q92769,1,0.9092592000961304
P45974,P19544,1,0.5291658043861389
P45974,Q9Y4K3,1,0.9457035660743713
Q96G74,P13010,1,0.383896142244339
Q96G74,Q14258,1,0.9149632453918457
Q9C040,O95863,1,0.7201908826828003
Q96DX7,Q16665,1,0.9860190153121948
Q86UV5,Q04206,1,0.5034627318382263
Q86UV5,Q8N6T7,1,0.08274730294942856
Q9UPU5,O75385,1,0.47807106375694275
Q13107,Q15382,1,0.28438493609428406
